sample_name,library_ID,title,library_strategy,library_source,library_selection,library_layout,platform,instrument_model,design_description,filetype,filename,filename2,filename3,filename4,assembly,fasta_file
1643,1643,mouse fecal metagenome,WGS,METAGENOMIC,RANDOM,paired,ILLUMINA,Illumina NovaSeq 6000,shotgun metagenomic sequencing of DNA extracted from excreted mouse feces,fastq,1643_1.fastq,1643_2.fastq,,,,
1644,1644,mouse fecal metagenome,WGS,METAGENOMIC,RANDOM,paired,ILLUMINA,Illumina NovaSeq 6000,shotgun metagenomic sequencing of DNA extracted from excreted mouse feces,fastq,1644_1.fastq,1644_2.fastq,,,,
1645,1645,mouse fecal metagenome,WGS,METAGENOMIC,RANDOM,paired,ILLUMINA,Illumina NovaSeq 6000,shotgun metagenomic sequencing of DNA extracted from excreted mouse feces,fastq,1645_1.fastq,1645_2.fastq,,,,
1647,1647,mouse fecal metagenome,WGS,METAGENOMIC,RANDOM,paired,ILLUMINA,Illumina NovaSeq 6000,shotgun metagenomic sequencing of DNA extracted from excreted mouse feces,fastq,1647_1.fastq,1647_2.fastq,,,,
1648,1648,mouse fecal metagenome,WGS,METAGENOMIC,RANDOM,paired,ILLUMINA,Illumina NovaSeq 6000,shotgun metagenomic sequencing of DNA extracted from excreted mouse feces,fastq,1648_1.fastq,1648_2.fastq,,,,
1650,1650,mouse fecal metagenome,WGS,METAGENOMIC,RANDOM,paired,ILLUMINA,Illumina NovaSeq 6000,shotgun metagenomic sequencing of DNA extracted from excreted mouse feces,fastq,1650_1.fastq,1650_2.fastq,,,,
1651,1651,mouse fecal metagenome,WGS,METAGENOMIC,RANDOM,paired,ILLUMINA,Illumina NovaSeq 6000,shotgun metagenomic sequencing of DNA extracted from excreted mouse feces,fastq,1651_1.fastq,1651_2.fastq,,,,
1652,1652,mouse fecal metagenome,WGS,METAGENOMIC,RANDOM,paired,ILLUMINA,Illumina NovaSeq 6000,shotgun metagenomic sequencing of DNA extracted from excreted mouse feces,fastq,1652_1.fastq,1652_2.fastq,,,,
1653,1653,mouse fecal metagenome,WGS,METAGENOMIC,RANDOM,paired,ILLUMINA,Illumina NovaSeq 6000,shotgun metagenomic sequencing of DNA extracted from excreted mouse feces,fastq,1653_1.fastq,1653_2.fastq,,,,
1654,1654,mouse fecal metagenome,WGS,METAGENOMIC,RANDOM,paired,ILLUMINA,Illumina NovaSeq 6000,shotgun metagenomic sequencing of DNA extracted from excreted mouse feces,fastq,1654_1.fastq,1654_2.fastq,,,,
1655,1655,mouse fecal metagenome,WGS,METAGENOMIC,RANDOM,paired,ILLUMINA,Illumina NovaSeq 6000,shotgun metagenomic sequencing of DNA extracted from excreted mouse feces,fastq,1655_1.fastq,1655_2.fastq,,,,
1656,1656,mouse fecal metagenome,WGS,METAGENOMIC,RANDOM,paired,ILLUMINA,Illumina NovaSeq 6000,shotgun metagenomic sequencing of DNA extracted from excreted mouse feces,fastq,1656_1.fastq,1656_2.fastq,,,,
1657,1657,mouse fecal metagenome,WGS,METAGENOMIC,RANDOM,paired,ILLUMINA,Illumina NovaSeq 6000,shotgun metagenomic sequencing of DNA extracted from excreted mouse feces,fastq,1657_1.fastq,1657_2.fastq,,,,
1659,1659,mouse fecal metagenome,WGS,METAGENOMIC,RANDOM,paired,ILLUMINA,Illumina NovaSeq 6000,shotgun metagenomic sequencing of DNA extracted from excreted mouse feces,fastq,1659_1.fastq,1659_2.fastq,,,,
1661,1661,mouse fecal metagenome,WGS,METAGENOMIC,RANDOM,paired,ILLUMINA,Illumina NovaSeq 6000,shotgun metagenomic sequencing of DNA extracted from excreted mouse feces,fastq,1661_1.fastq,1661_2.fastq,,,,
